VRM,match_sold_price
LL66XGK,13258
HT15MUE,7842
FL15JXT,10275
BK16UTN,13185
WF58RCX,800
EA09UAH,1200
AF63CMY,8009
LG66SCX,7847
EO62PYS,1600
AO64LLP,7355
MD15EYJ,7300
DF14OJM,6754
BN63YVA,9308
VO56FDF,300
RF62RCY,15410
KV18XRG,24285
AO67FUD,7412
ND12TZR,7361
SA16YUC,17439
HJ18VGL,7995
LO63KVK,7152
DY18VZP,14351
SR15BVE,13429
FR62YBS,16691
SK16MKU,9161
BF66ETV,9341
DY64UGN,6380
KE14BNO,9343
WV14WKA,12269
PN59EXZ,350
SX17BXS,9500
RK07NUC,225
GJ10EGK,1500
DT16KGA,8395
LR16FFO,16951
BX16DXS,9462
WD16EEH,22140
LR66JZV,9999
AK66NHC,11667
KX64ZMO,2600
SC17JNL,6400
MK17TGU,6450
HX64YDE,12999
AK67UEY,12750
LU51TUC,8499
LN64RXM,10350
LO14DLY,8638
WR63VAJ,5933
YG12TXV,11551
CA53AMV,53000
HV65MUW,6250
YL65JZF,10756
KX16ZHK,11329
A5XMU,12594
KW64LLE,10985
KJ16RTO,13691
YB15ZSR,10080
KS15YXV,10545
GV15JVA,8180
MK10JHH,600
FY64XHZ,9072
VN14WYK,10851
WR13HRJ,10373
LB17THV,11106
FP13DWN,6201
AU66KVR,13995
MJ10AGU,1000
MJ64WWZ,4309
GU16CKN,8694
KP60GRF,1850
GJ11BLF,700
HV64OAC,7827
FL09AXT,800
RY05FYX,1600
RE10DGV,1300
RV05MDY,1200
GU11MRX,1900
RE59YBT,1300
hg16rou,4000
HK65MLY,6500
CU06JUC,1500
FRZ7112,5300
LB15FND,12699
LJ64BVR,12593
LO13JCX,13484
HL03JXN,100
LY61BJK,1400
CP59LFV,250
LS17VPP,11161
KW12LBV,11026
RJ11UCR,2000
FV13MZZ,12374
WO16MXE,8997
VK16FXS,8548
BJ13NAU,9062
BG62GWL,8309
Y14JDT,11522
SN15YSE,8551
NV67NDX,17369
CX09EKO,4000
RF09GZY,900
LL63WWG,3000
HY10UWN,2300
DY09DLZ,150
OW64AEZ,12383
WU59KPZ,300
LC17LYS,9999
DV61EZW,8251
MA64DXE,11150
LD62WBN,9350
WM17HJG,11450
WR65FFM,8899
BW65WWO,21950
BL15TSO,5800
LL16XZM,17851
WJ66EFV,8250
CP14JCX,7250
KU63HEJ,14051
AF65ODB,9999
YN15PSU,16450
KM14UEL,9699
GJ18FVX,12250
LS13UYV,9899
VE66SRV,10292
SN64YDG,10250
CV64YTL,13150
PJ64BWB,7299
WK14ODF,10450
LF65LJN,10851
GJ17AVZ,13801
HY61ZKJ,4495
DL16HXO,7701
MJ60TXH,4450
GU15NZS,7995
BT66ETA,9150
LX62UHE,6750
HF65XHV,6450
GJ18FAK,8999
DA63GZD,3750
VX15KVJ,8250
DL65FFE,9499
FE14UKN,8999
BF65MJX,8750
CA65OLH,13995
VX16OTJ,6450
DE14BXW,7400
DL10KWX,400
VU63ANF,5301
MM65VCV,10999
LG66FLX,12699
AJM172A,1100
BV61NZB,2250
WP10UVJ,1200
LX65YHE,9399
YR64YCL,19999
LK61ZDW,2300
FG06GZE,400
DN57GWZ,300
EO02MYX,800
LC65EFB,10200
BD17RVX,8250
LS13NZZ,13500
FT62JTO,7450
DU16XMC,6350
YH12YJF,8999
KN63CLV,7450
EJ13ZTN,5950
GL13VJC,7350
LR64MDN,13999
FC16FSD,9250
EX67OSD,14163
LM65GXU,13850
KU12YUL,3990
ND15YTS,7500
CT17DDO,8450
CK14WDX,5995
RF63ANU,7250
YA16MFY,8299
LS62OVP,8950
LV16CJU,6750
WD67AYA,8550
EA15AUK,6499
KS14OOV,7250
SV64XPZ,7850
LL65HFP,7250
DE14VKD,6950
LL64HSV,7950
FN11WXZ,1300
GF04WNB,600
HN07RXB,500
HX07UOM,450
GF55TKJ,200
KU15VWY,10899
HW13ERU,5750
LL65FTY,7999
KW66UTF,8650
AO63WUV,6601
DH65GLJ,7971
MF58UGA,3200
RK59XDH,1200
KP09NXD,2500
SB10WMT,3500
ST61GZA,1200
VU62KLE,1300
SG12OTK,1500
MJ67ARF,6950
WV14FFU,9301
NK15YSD,9350
LG65UHD,6750
NL62YBZ,5000
BW17YOY,8995
OV12SCZ,8250
VO17NBG,10650
KM64WKH,12995
DA15TWW,6250
RV65WTL,9454
DG67YZP,8500
LC62DHZ,12651
VU15PWX,13150
VX66WFP,10250
BV62YLM,7351
BV62FVX,7150
AK12WSE,7350
LF14RKX,8451
FM65VGZ,22995
KV65YJH,10450
NJ64TKO,6400
GN66NHF,10450
MX63FGU,5199
HN65VSE,6650
KY15WVC,9250
AJM172A,1100
T77CWL,4700
HG60AXW,2850
WM62VFE,1500
VU64JJV,8150
MK11UEP,1200
RA65JTO,8750
WR60OZL,1300
EJ65BVO,8250
KN14HBF,12799
LM67WLZ,8399
RJ62JJF,3995
BG15KFT,6299
BJ13SFN,6250
YB14KKC,9650
RF16FTC,7799
LL14SDO,7450
ND14HPC,13499
HV13ODC,3499
BN17XZJ,9699
BJ59HXW,450
MV58MJF,4000
GU67XXE,6851
LA61FBL,2600
RJ53NLV,200
DG12NHB,1300
DK10AHJ,450
BK56EGU,400
LR61GKD,1600
LD12VRE,1600
LP14UEZ,10170
MK65PRX,11499
KU13MXG,9950
LD14OVS,8495
WU63YBO,10250
RF64CMK,10250
S999BVM,7700
LL64VNV,7995
GJ65FJV,10500
CE64JCO,3799
AP65EYT,20799
YD65NFM,12850
DY16XPE,9850
LL16HZF,11999
MV63ASX,13450
YC13GDF,6750
FH66AON,8750
HY15JDJ,8695
EX63OMM,9999
GL15FLX,9999
RO63SHZ,9850
DK63BJJ,8950
WN16NRO,10200
KV63FZX,10920
MW65KCA,11275
FY14XFE,8499
NX18KPN,10450
MA16USN,20500
EJ13FZU,14450
SL64MLX,9250
RJ63PHA,10866
GF65YOD,5995
KR13CFV,9250
CV15XLF,6999
AO61OWG,1500
EJ57HXT,200
BK58KYJ,200
WR16BGV,8995
M31DPR,16999
RX63UTS,4399
HV68VDN,10250
VUI4547,5995
NA62WPR,5499
KP13YGW,9250
YE65KAO,11500
MA63OGZ,4450
Y500RRS,30500
LA12VUL,7450
LM66ZGW,7999
YB62KSF,8799
WR63OPS,7199
EF64APV,16550
BL16GTY,8599
RO16CRF,10285
GC15RRV,5700
LN62SUA,10850
LL65MYY,14450
BK15YGW,11250
NG16NKE,8250
RV14KJA,6250
FV16AHP,10699
BV15VTN,10999
VK17XLN,9151
LM64ZDN,7899
PE16VDV,12450
VO18FPC,14450
VA64XHM,7150
YF63BWH,7995
YE67YVB,9999
GY63NGG,12950
LT14TVJ,11250
YE63PWK,10450
GX13XCN,12995
DU17OYK,7995
RO64TRZ,9999
FR13KLU,7150
AO13ZVP,16601
KP16UVD,10450
OE52XFG,150
KP61CCY,2375
KU57ZVC,250
EJ53HWX,150
KU57VGA,400
MJ55PYP,200
YD10XPU,1700
GK56VSV,1700
GN17WPF,9750
SM11TKX,4999
BC66RDU,13999
KP15PNE,6700
GJ15WWO,8250
YR66CBU,13500
SF16AAG,6101
CK13WGY,5229
AK63ZHW,6995
ND67CME,10250
EK14ABX,6401
HK15DYF,12475
LO63RFJ,9999
ML14ZJY,10999
NU15VJX,10599
EG66HZE,8750
PK63OKV,11200
KW18SBX,10950
YA67BNU,8699
KP64LFY,6799
YJ64TZN,13599
VE15XWK,7999
GJ62SSU,6250
VX15OLE,7450
OY65UJW,5900
LY15EKB,10250
HK16OMT,20398.8
GK14OKC,14250
WP16FPF,14999
SE17HVT,7650
RY65FOU,11250
KP62BWG,6500
GL15UGS,10650
YJ64ZRO,9662
LG13LUJ,8450
EY14GXO,7450
YB11FPN,1050
BK17HPA,10450
FM64OPV,5995
VU65LVR,6496
AJ14FWY,12250
DV16AWJ,6595
YE64DHD,11999
SC65CCJ,7650
DE67HHS,9000
AF63BGO,10999
YE15YPO,16995
DL17ERZ,12750
MK16FKE,7995
LB15GZN,40995
OV14HBJ,10750
RE14UNU,7899
NK63YVA,6699
MK14UTV,10651
LF63DHU,9999
RE63VSJ,6451
YE63XUX,9999
VFZ4059,6850
RJ62JDZ,11650
EK15OEN,6450
YR14ZXJ,6701
EF03YRZ,200
LT66EUK,7850
YS16FLV,9999
CU16NUF,12750
DX66YNR,6500
WA67XUY,9551
RS08MCC,15650
DS08NKX,500
GF16VWU,8646
YG15TDO,9210
PF64EJN,11650
DE63WVX,6200
AF63JRV,12450
LB57KVR,1550
PE64RZP,9450
AF17VJY,12550
BX06VCY,500
YE56NYH,500
NU06ODB,100
KT07AXH,700
GV56NNG,260
